class_weight,criterion,max_depth,min_samples_leaf,min_samples_split,n_estimators,f1_macro_cv,precision_macro_cv,recall_macro_cv,roc_auc_cv,train_accuracy
balanced,entropy,20.0,1,5,300,0.7774210922504002,0.8172197351648951,0.7648462851511633,0.9281577779974185,0.993127147766323
balanced,entropy,,1,5,200,0.7773090909785465,0.8202583438430388,0.7659321437370218,0.92889620839622,0.9914089347079038
balanced,entropy,20.0,1,5,200,0.7773090909785465,0.8202583438430388,0.7659321437370218,0.9287893707893826,0.9914089347079038
balanced,entropy,10.0,2,10,300,0.7771695362848209,0.8097378829982869,0.7698869355576672,0.9315420032516434,0.9432989690721649
balanced,gini,10.0,1,10,300,0.7768999580084447,0.8264998734688485,0.7609777214655264,0.9293547308848307,0.9467353951890034
,entropy,10.0,1,2,200,0.7767826080074476,0.8179259414965964,0.7651394608101925,0.9325730108031485,0.9965635738831615
,gini,10.0,1,10,200,0.7767823503544523,0.8243637865811946,0.7617704043923557,0.9302713167550761,0.9518900343642611
,gini,10.0,1,10,300,0.7767823503544523,0.8243637865811946,0.7617704043923557,0.9298406433319819,0.9501718213058419
balanced,entropy,20.0,2,5,100,0.7767134200888258,0.8196874024872802,0.7648259599479112,0.9325150910238824,0.9690721649484536
balanced,entropy,,2,5,100,0.7767134200888258,0.8196874024872802,0.7648259599479112,0.9324672670162306,0.9690721649484536
balanced,gini,20.0,1,10,200,0.7765023198520508,0.8230243671680298,0.763154365959244,0.926573614058408,0.9570446735395189
balanced,gini,,1,10,200,0.7765023198520508,0.8230243671680298,0.763154365959244,0.926573614058408,0.9570446735395189
balanced,gini,10.0,1,10,200,0.7764806818557293,0.8229769513311403,0.7631543659592441,0.9297322501121263,0.9467353951890034
,gini,10.0,1,5,100,0.776401725482968,0.819875380785172,0.7651191356069406,0.923987424250585,0.979381443298969
,entropy,,1,2,300,0.7762637119375554,0.8201771846921121,0.7626493154541936,0.9259123386881782,1.0
,gini,,1,5,300,0.7761679397487314,0.8206950375309562,0.7617500791891036,0.9306482867975399,0.9862542955326461
,gini,20.0,1,5,300,0.7761679397487314,0.8206950375309562,0.7617500791891036,0.9306482867975399,0.9862542955326461
balanced,gini,10.0,1,2,100,0.776160361202668,0.8227598296391104,0.7629221659099709,0.9242183994239459,0.993127147766323
balanced,gini,20.0,1,2,300,0.7759303206499184,0.823698710192434,0.7609573962622743,0.9301618984351565,1.0
balanced,gini,,1,2,300,0.7759303206499184,0.823698710192434,0.7609573962622743,0.9302274096575823,1.0
balanced,entropy,,2,5,300,0.7758379346079792,0.8148911810555017,0.7667704043923557,0.9305728463858387,0.9673539518900344
balanced,entropy,20.0,2,5,300,0.7758379346079792,0.8148911810555017,0.7667704043923557,0.9305728463858387,0.9673539518900344
,gini,10.0,1,2,100,0.7757232736241194,0.8127821775465595,0.7664732692781473,0.9301433143776002,0.993127147766323
balanced,gini,20.0,1,5,200,0.7755741324677794,0.8207135285704716,0.7629018407067187,0.9325901390329735,0.9879725085910653
balanced,gini,,1,5,200,0.7755741324677794,0.8207135285704716,0.7629018407067187,0.9324356322555953,0.9879725085910653
balanced,entropy,,1,5,100,0.7753803466262477,0.8152414155288967,0.7638010769718087,0.9304485698339618,0.9862542955326461
balanced,entropy,20.0,1,5,100,0.7753803466262477,0.8152414155288967,0.7638010769718087,0.9304007458263099,0.9862542955326461
balanced,gini,20.0,1,5,100,0.775379968490024,0.8226124823298904,0.7598715376764157,0.9328479716536139,0.9862542955326461
balanced,gini,,1,5,100,0.775379968490024,0.8226124823298904,0.7598715376764157,0.9326949925875914,0.9862542955326461
,entropy,,1,5,100,0.7753495161125676,0.8138777195523541,0.7662708971245556,0.9296462356286617,0.9879725085910653
,entropy,20.0,1,5,100,0.7753495161125676,0.8138777195523541,0.7662708971245556,0.9296462356286617,0.9879725085910653
,entropy,20.0,1,2,300,0.7748889638310998,0.818432046361608,0.7618159821208602,0.9259418895156015,1.0
balanced,gini,20.0,1,5,300,0.7748399676106028,0.8213018291587721,0.7609573962622743,0.92976950427425,0.9845360824742269
balanced,gini,10.0,1,5,300,0.7747549862396077,0.8228886144664876,0.7587401013620526,0.9264640559592197,0.979381443298969
balanced,gini,,1,10,300,0.7745289269368532,0.8178381909241098,0.7623210326259107,0.9281692704079948,0.9553264604810997
balanced,gini,20.0,1,10,300,0.7745289269368532,0.8178381909241098,0.7623210326259107,0.9281692704079948,0.9553264604810997
balanced,gini,10.0,1,10,100,0.7744230706905231,0.8209541600320331,0.760103737725689,0.929318264594313,0.9450171821305842
,gini,,1,5,200,0.7741423714787297,0.8179651059388504,0.7607048710097492,0.9299707669139767,0.9845360824742269
,gini,20.0,1,5,200,0.7741423714787297,0.8179651059388504,0.7607048710097492,0.9299707669139767,0.9845360824742269
balanced,gini,10.0,1,2,200,0.7741033991773516,0.8213282057074865,0.7601443881321932,0.9259756371436836,0.993127147766323
,gini,,2,5,200,0.7739938871949884,0.8172444312896525,0.7609167458557703,0.9287852419145555,0.9639175257731959
,gini,20.0,2,5,200,0.7739938871949884,0.8172444312896525,0.7609167458557703,0.9287852419145555,0.9639175257731959
balanced,entropy,10.0,1,10,300,0.7737767461116235,0.8149165038348025,0.7620481821701335,0.9303914545742995,0.9518900343642611
balanced,gini,10.0,2,5,200,0.773514051293414,0.8134116738655951,0.7620888325766375,0.9319907211398564,0.9587628865979382
balanced,gini,,1,5,300,0.7734339293790015,0.819175918893327,0.760124062928941,0.9297749652076238,0.9845360824742269
,gini,10.0,2,2,100,0.7730537126713817,0.8165005866785211,0.7632202688910007,0.9272247275161641,0.9656357388316151
balanced,gini,10.0,2,2,100,0.7730384757738564,0.8225201070738064,0.7559623235842748,0.9285482214405383,0.9673539518900344
,gini,10.0,2,10,100,0.7729038607351872,0.8115737571842224,0.7631999436877486,0.9305081104117765,0.9398625429553265
,gini,20.0,1,2,100,0.772893096436411,0.8153787485198134,0.7615080244958293,0.9255889989741926,1.0
,gini,,1,2,100,0.772893096436411,0.8153787485198134,0.7615080244958293,0.9253404898899437,1.0
balanced,entropy,20.0,2,10,300,0.7727703067001207,0.8087396886448295,0.7653969133847183,0.930587118803019,0.9450171821305842
balanced,entropy,,2,10,300,0.7727703067001207,0.8087396886448295,0.7653969133847183,0.930587118803019,0.9450171821305842
balanced,gini,20.0,2,2,200,0.7727094699452152,0.8148088321390036,0.7610029739907789,0.9295229221720376,0.9707903780068728
balanced,gini,,2,2,200,0.7727094699452152,0.8148088321390036,0.7610029739907789,0.9295229221720376,0.9707903780068728
balanced,gini,,2,5,200,0.7726981372579655,0.8203352777592341,0.7579270932319713,0.9289927660328404,0.9656357388316151
balanced,gini,20.0,2,5,200,0.7726981372579655,0.8203352777592341,0.7579270932319713,0.9289927660328404,0.9656357388316151
balanced,entropy,,2,2,200,0.7726255249942898,0.8131504106916537,0.7629474184352234,0.9295493993654974,0.9707903780068728
balanced,entropy,20.0,2,2,200,0.7726255249942898,0.8131504106916537,0.7629474184352234,0.9295493993654974,0.9707903780068728
,entropy,,1,2,100,0.7725920506071555,0.8186093303849485,0.7604628163164748,0.9283886963334768,1.0
,entropy,20.0,1,2,100,0.7725920506071555,0.8186093303849485,0.7604628163164748,0.928296072593767,1.0
,gini,10.0,2,2,200,0.7724677243622498,0.8159293296639634,0.761235174040052,0.9281260877941072,0.9656357388316151
