set,colsample_bytree,gamma,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,subsample,f1_macro_cv,precision_macro_cv,recall_macro_cv,roc_auc_cv,train_accuracy
53,0.8,0.0,0.1,3,100,1.0,1.0,0.8,0.7858309373069456,0.8056096326234565,0.7863715552739944,0.9300592353351685,0.9329896907216495
341,1.0,1.0,0.1,3,100,1.0,1.0,0.8,0.7857128486677548,0.8063417928853707,0.786119030021469,0.9341661924095057,0.9192439862542955
195,1.0,0.0,0.05,3,100,0.0,2.0,0.8,0.7855108017267901,0.7972556789289456,0.7886239573434696,0.9310785211091014,0.9037800687285223
63,0.8,0.0,0.1,3,200,1.0,2.0,0.8,0.7855017448936321,0.8051312834847483,0.7860688769225355,0.9283655007029867,0.9587628865979382
355,1.0,1.0,0.1,3,300,0.0,2.0,0.8,0.7854807494805218,0.8056589081447498,0.7871845634040756,0.9319178579873604,0.9347079037800687
347,1.0,1.0,0.1,3,200,0.0,2.0,0.8,0.7854807494805218,0.8056589081447498,0.7871845634040756,0.9321297890640994,0.9347079037800687
221,1.0,0.0,0.05,6,100,1.0,1.0,0.8,0.7851600017377245,0.8207164145673038,0.7807704219899343,0.9264698351005165,0.9656357388316151
209,1.0,0.0,0.05,3,300,0.0,1.0,0.8,0.78508721701917,0.8144667996637495,0.7804280610987928,0.9283195441425258,0.9621993127147767
181,0.8,1.0,0.1,6,200,1.0,1.0,0.8,0.7850630653686098,0.8062598080667236,0.7844067856262977,0.9326228839042112,0.929553264604811
244,1.0,0.0,0.1,3,100,0.0,2.0,1.0,0.7850519161028849,0.8038281729743499,0.7865834301200155,0.9297819177958543,0.9329896907216495
106,0.8,1.0,0.05,3,200,0.0,1.0,1.0,0.7849667982462153,0.8099839155560125,0.7835937774962165,0.9307420384503498,0.9192439862542955
114,0.8,1.0,0.05,3,300,0.0,1.0,1.0,0.7849667982462153,0.8099839155560125,0.7835937774962165,0.9306775639177902,0.9175257731958762
5,0.8,0.0,0.05,3,100,1.0,1.0,0.8,0.7849360823459458,0.8041088036412706,0.7861190300214691,0.9327656376699609,0.9003436426116839
128,0.8,1.0,0.05,6,100,1.0,2.0,1.0,0.7848089152518611,0.7998821660466733,0.785592686446345,0.9322168475767366,0.9278350515463918
176,0.8,1.0,0.1,6,100,1.0,2.0,1.0,0.7847767831071397,0.8102511422723527,0.7830877591243446,0.9320342319428556,0.9243986254295533
192,0.8,1.0,0.1,6,300,1.0,2.0,1.0,0.7847767831071397,0.8102511422723527,0.7830877591243446,0.9321410695496931,0.9243986254295533
