ccp_alpha,class_weight,criterion,max_depth,min_samples_leaf,min_samples_split,f1_macro_cv,precision_macro_cv,recall_macro_cv,roc_auc_cv,train_accuracy
0.001,,entropy,10,2,20,0.7099140514748962,0.7095624297337337,0.7218786295005807,0.8696936889162498,0.91324200913242
0.001,,entropy,10,4,5,0.7274184743710225,0.7359096335383283,0.7315950445218737,0.8579813983980525,0.934931506849315
0.001,,entropy,10,4,10,0.7185195001556931,0.7212633626762172,0.7267160278745644,0.8546924974148216,0.932648401826484
0.001,,entropy,10,4,20,0.7091468915911043,0.7068111370316738,0.724161827332559,0.8669205390242535,0.906392694063927
0.001,,entropy,10,8,5,0.7311534579221053,0.7314016814926807,0.7434436701509872,0.8771871032158195,0.9029680365296804
0.001,,entropy,10,8,10,0.7311534579221053,0.7314016814926807,0.7434436701509872,0.8771871032158195,0.9029680365296804
0.001,,entropy,10,8,20,0.7264293348033288,0.7257147254684032,0.7392973286875726,0.8808045918308742,0.9006849315068494
0.001,balanced,gini,3,2,5,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.001,balanced,gini,3,2,10,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.001,balanced,gini,3,2,20,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.001,balanced,gini,3,4,5,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.001,balanced,gini,3,4,10,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.001,balanced,gini,3,4,20,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.001,balanced,gini,3,8,5,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.001,balanced,gini,3,8,10,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.001,balanced,gini,3,8,20,0.7214017482358618,0.7163189603581177,0.7404558652729385,0.8381657986405069,0.8276255707762558
0.001,balanced,gini,5,2,5,0.7475410182655754,0.7603262598036405,0.7498325590398761,0.8702702033012046,0.8687214611872146
